ReservationId,RoomId,GuestId,AdultGuestNum,ChildGuestNum,StartDate,EndDate,TotalRoomCost
1,16,2,1,0,'2023-2-2','2023-2-4',299.98
2,3,3,2,1,'2023-2-5','2023-2-10',999.95
3,13,4,2,0,'2023-2-22','2023-2-24',349.98
4,1,5,2,2,'2023-3-6','2023-3-7',199.99
5,15,1,1,1,'2023-3-17','2023-3-20',524.97
6,10,6,3,0,'2023-3-18','2023-3-23',924.95
7,2,7,2,2,'2023-3-29','2023-3-31',349.98
8,12,8,2,0,'2023-3-31','2023-4-5',874.95
9,9,9,1,0,'2023-4-9','2023-4-13',799.96
10,7,10,1,1,'2023-4-23','2023-4-24',174.99
11,17,11,2,4,'2023-5-30','2023-6-2',1199.97
12,6,12,2,0,'2023-6-10','2023-6-14',599.96
13,8,12,1,0,'2023-6-10','2023-6-14',599.96
14,12,6,3,0,'2023-6-17','2023-6-18',184.99
15,5,1,2,0,'2023-6-28','2023-7-2',699.96
16,4,9,3,1,'2023-7-13','2023-7-14',184.99
17,17,10,4,2,'2023-7-18','2023-7-21',1259.97
18,11,3,2,1,'2023-7-28','2023-7-29',199.99
19,13,3,1,0,'2023-8-30','2023-9-1',349.98
20,8,2,2,0,'2023-9-16','2023-9-17',149.99
21,3,5,2,2,'2023-9-13','2023-9-15',399.98
22,17,4,2,2,'2023-11-22','2023-11-25',1199.97
23,6,2,2,0,'2023-11-22','2023-11-25',449.97
24,9,2,2,2,'2022-11-22','2023-11-25',599.97
25,10,11,2,0,'2023-12-24','2023-12-28',699.96
